customerID,firstName,lastName,phoneNumber,email,loyaltyPoints
80,Brenda,Smith,806-432-8900,brendasmith@gmail.com,497
81,Gary,Adams,366-762-1017,garyadams@gmail.com,121
82,Riya,Taylor,558-629-2015,riyataylor@gmail.com,365
83,Jason,Phillips,211-381-2274,jasonphillips@gmail.com,378
84,Matthew,Wood,846-734-7343,matthewwood@gmail.com,367
85,Olivia,Kelly,706-230-7981,oliviakelly@gmail.com,358
86,Diane,Evans,551-355-0576,dianeevans@gmail.com,122
87,Andrew,Lewis,928-597-3153,andrewlewis@gmail.com,333
88,Joshua,Johnson,340-792-7549,joshuajohnson@gmail.com,340
89,Aniket,Phillips,600-932-2932,aniketphillips@gmail.com,319
90,Michael,Hill,436-241-6984,michaelhill@gmail.com,276
91,Stephanie,Hill,848-543-9020,stephaniehill@gmail.com,345
92,James,Ross,882-394-0701,jamesross@gmail.com,324
93,Jack,Cook,514-881-9853,jackcook@gmail.com,329
94,Nicholas,Wilson,380-746-0175,nicholaswilson@gmail.com,173
95,Matthew,Thomas,568-676-2217,matthewthomas@gmail.com,154
96,Amanda,Walker,787-474-3781,amandawalker@gmail.com,270
97,Krish,Gray,738-881-0854,krishgray@gmail.com,205
98,Samantha,Lopez,662-962-7192,samanthalopez@gmail.com,125
99,Brenda,Jones,959-439-7390,brendajones@gmail.com,440
100,Carolyn,Green,475-556-5424,carolyngreen@gmail.com,351
101,Christine,Cox,894-619-3582,christinecox@gmail.com,70
102,Gregory,Torres,847-729-1829,gregorytorres@gmail.com,292
103,Kathleen,Roberts,960-348-3783,kathleenroberts@gmail.com,159
104,Samuel,Rogers,961-631-2904,samuelrogers@gmail.com,322
105,Kimberly,Allen,618-440-5060,kimberlyallen@gmail.com,47
106,Jack,Gray,683-590-2548,jackgray@gmail.com,346
107,Krish,Nelson,514-349-1525,krishnelson@gmail.com,361
108,Christine,Cruz,717-957-7600,christinecruz@gmail.com,382
109,Nicole,Roberts,213-920-7069,nicoleroberts@gmail.com,172
110,Jacob,Clark,875-974-8559,jacobclark@gmail.com,84
111,Melissa,Collins,488-832-0085,melissacollins@gmail.com,456
112,Emily,Brooks,231-552-5347,emilybrooks@gmail.com,331
113,Debra,White,618-361-3478,debrawhite@gmail.com,15
114,Christine,Hill,603-723-9817,christinehill@gmail.com,246
115,David,Morales,461-227-5112,davidmorales@gmail.com,171
116,Sandra,Watson,284-244-7123,sandrawatson@gmail.com,493
117,Gregory,Bennet,695-489-0886,gregorybennet@gmail.com,341
118,Debra,Patel,329-918-6653,debrapatel@gmail.com,53
119,Joseph,Howard,917-373-2328,josephhoward@gmail.com,334
120,Donna,Hernandez,908-633-1116,donnahernandez@gmail.com,265
121,Kevin,Hughes,827-664-1258,kevinhughes@gmail.com,435
122,Susan,Davis,760-863-7753,susandavis@gmail.com,24
123,Karen,Morales,785-418-3317,karenmorales@gmail.com,449
124,Edward,Perez,485-295-0842,edwardperez@gmail.com,114
125,Barbara,Diaz,469-832-9271,barbaradiaz@gmail.com,323
126,Eric,Foster,728-553-6594,ericfoster@gmail.com,134
127,Donald,Allen,753-246-9916,donaldallen@gmail.com,24
128,Paul,Williams,921-837-5871,paulwilliams@gmail.com,368
129,Robert,Price,882-746-8196,robertprice@gmail.com,427
130,Samantha,Morris,720-858-7067,samanthamorris@gmail.com,67
131,Tyler,King,572-318-8098,tylerking@gmail.com,403
132,Jennifer,Patel,457-730-5603,jenniferpatel@gmail.com,431
133,Stephanie,Diaz,394-989-4317,stephaniediaz@gmail.com,339
134,Betty,Nelson,484-916-7147,bettynelson@gmail.com,75
135,Heather,Roberts,609-562-9924,heatherroberts@gmail.com,17
136,Amy,Roberts,437-927-1030,amyroberts@gmail.com,198
137,Christine,Sanchez,880-500-8326,christinesanchez@gmail.com,123
138,Kevin,Green,319-268-1895,kevingreen@gmail.com,439
139,Katherine,Wright,208-660-1751,katherinewright@gmail.com,388
140,Jennifer,Kim,503-264-0416,jenniferkim@gmail.com,424
141,Kevin,Gonzales,246-621-0867,kevingonzales@gmail.com,49
142,Joshua,Cook,871-994-0223,joshuacook@gmail.com,98
143,Andrew,Roberts,937-763-3981,andrewroberts@gmail.com,255
144,Samuel,Lee,407-451-0694,samuellee@gmail.com,369
145,Diane,Martin,768-365-6731,dianemartin@gmail.com,98
146,David,Reed,276-601-3269,davidreed@gmail.com,191
147,Amy,Flores,465-527-6705,amyflores@gmail.com,471
148,Edward,Cox,962-873-3993,edwardcox@gmail.com,150
149,Mary,Hill,360-811-9176,maryhill@gmail.com,225
150,Maria,Garcia,233-682-2386,mariagarcia@gmail.com,264
151,Brenda,Ramirez,350-672-7596,brendaramirez@gmail.com,213
152,Aniket,Rogers,432-832-0682,aniketrogers@gmail.com,326
153,Sarah,Cooper,651-563-6927,sarahcooper@gmail.com,52
154,Sharon,Lopez,443-355-6191,sharonlopez@gmail.com,6
155,Joseph,Martin,415-565-7192,josephmartin@gmail.com,0
156,Angela,Nguyen,903-598-3606,angelanguyen@gmail.com,62
157,Jennifer,Rogers,594-371-5621,jenniferrogers@gmail.com,107
158,Matthew,Jackson,451-676-0288,matthewjackson@gmail.com,365
159,Robert,Nguyen,406-926-3466,robertnguyen@gmail.com,237
160,Emily,Clark,598-720-1893,emilyclark@gmail.com,115
161,Lisa,Watson,705-939-0760,lisawatson@gmail.com,165
162,Jonathan,Turner,812-565-1746,jonathanturner@gmail.com,461
163,Justin,Rivera,916-734-0834,justinrivera@gmail.com,287
164,Michelle,Allen,594-903-0235,michelleallen@gmail.com,20
165,Christopher,Morris,952-352-7434,christophermorris@gmail.com,390
166,David,Green,792-267-6127,davidgreen@gmail.com,130
167,Isha,Lopez,392-858-2192,ishalopez@gmail.com,426
168,Julie,Ramirez,524-947-0564,julieramirez@gmail.com,221
169,James,Castillo,573-294-7222,jamescastillo@gmail.com,281
170,Alexander,Phillips,309-609-7035,alexanderphillips@gmail.com,122
171,Sarah,Bennet,642-576-2024,sarahbennet@gmail.com,333
172,Steven,Gomez,546-388-3601,stevenalvarez@gmail.com,3
173,Susan,Alvarez,630-435-4085,susanalvarez@gmail.com,423
174,Debra,Green,967-319-9353,debragreen2@gmail.com,442
175,Aniket,Adams,826-613-9566,aniketadams@gmail.com,234
176,Scott,Myers,954-302-4128,scottmyers@gmail.com,420
177,Carolyn,Wright,521-233-5750,carolynwright@gmail.com,177
178,Dorothy,Flores,559-489-3040,dorothyflores@gmail.com,499
179,George,Davis,382-687-7076,georgedavis@gmail.com,68
180,George,Hall,572-727-5559,georgehall@gmail.com,386
181,James,Hughes,870-748-5614,jameshughes@gmail.com,273
182,David,Howard,563-283-2408,davidhoward@gmail.com,21
183,Steven,Perez,949-609-0790,stevenperez@gmail.com,446
184,Gregory,Phillips,492-250-6121,gregoryphillips@gmail.com,378
185,Krish,Rivera,681-251-0616,krishrivera@gmail.com,382
186,Ryan,Rogers,560-489-4890,ryanrogers@gmail.com,351
187,Rachel,Walker,757-997-5266,rachelwalker@gmail.com,308
188,Ashley,Bailey,625-540-9753,ashleybailey@gmail.com,70
189,Amanda,Ross,620-859-5517,amandaross@gmail.com,453
190,Jessica,Stewart,375-533-3713,jessicastewart@gmail.com,175
191,Eric,Gonzales,698-203-8164,ericgonzales@gmail.com,472
192,Stephanie,Chavez,760-662-9318,stephaniechavez@gmail.com,82
193,Jacob,Price,917-568-2235,jacobprice@gmail.com,339
194,Eric,Kelly,909-337-5062,erickelly@gmail.com,225
195,Nicholas,Roberts,439-393-5601,nicholasroberts@gmail.com,139
196,Kathleen,Carter,516-766-3326,kathleencooper@gmail.com,483
197,Carolyn,Gomez,718-542-0544,carolyngomez@gmail.com,474
198,Paul,Turner,997-702-2924,pualturner@gmail.com,13
199,Brenda,Sanders,327-850-5602,brendasanders@gmail.com,279
200,Emma,Ward,535-799-6139,emmaward@gmail.com,230
201,Linda,Parker,260-250-1377,lindaparker@gmail.com,86
202,Samantha,Walker,407-702-0707,samanthawalker@gmail.com,111
203,Raymond,Scott,803-837-7148,raymondscott@gmail.com,294
204,Susan,Harris,733-201-9894,susanharris@gmail.com,396
205,Jennifer,Carter,244-474-1579,jennifercarter@gmail.com,337
206,Brandon,Kelly,632-251-8539,brandonkelly@gmail.com,197
207,Lisa,Jimenez,257-483-5073,lisajimenez@gmail.com,373
208,David,Stewart,895-899-9601,davidsteward@gmail.com,131
209,William,Brown,900-225-4706,williambrown@gmail.com,88
210,Kathleen,Lopez,644-352-9935,kathleenlopez@gmail.com,1
211,Nancy,Hall,469-851-5663,nancyhall@gmail.com,354
212,William,Flores,774-626-4677,williamflores@gmail.com,425
213,Nancy,Anderson,351-906-6699,nancyanderson@gmail.com,171
214,Jennifer,Collins,648-656-5243,jennifercollins@gmail.com,127
215,Thomas,Davis,799-739-0696,thomasdavis@gmail.com,381
216,William,Ward,428-623-9579,williamward@gmail.com,355
217,Joseph,Morgan,286-394-8620,josephmorgan@gmail.com,78
218,Aditya,Ross,321-285-0174,adityaross@gmail.com,370
219,Sarah,Hughes,964-522-3399,sarahhughes@gmail.com,27
220,Jason,Murphy,803-484-4326,jasonmurphy@gmail.com,372
221,Jessica,Rivera,254-766-6573,jessicarivera@gmail.com,92
222,Rebecca,Reyes,695-957-4900,rebeccareyes@gmail.com,348
223,Lisa,Watson,822-562-0487,lisawatson2@gmail.com,435
224,Pamela,Gomez,433-349-9302,pamelagomez@gmail.com,371
225,Daniel,Foster,587-783-8281,danielfoster@gmail.com,209
226,Olivia,Cooper,717-361-0091,oliviacooper@gmail.com,196
227,Richard,Ramos,696-831-4484,richardramos@gmail.com,168
228,Gregory,Clark,368-787-5901,gregoryclark@gmail.com,474
229,Melissa,Ramirez,434-906-2828,melissaramirez@gmail.com,217
230,Jonathan,Torres,708-760-9542,jonathantorres2@gmail.com,342
231,Donald,Howard,968-475-1247,donaldhoward@gmail.com,33
232,Laura,Miller,277-504-2221,lauramiller@gmail.com,284
233,Ashley,Robinson,932-766-7357,ashleyhernandez@gmail.com,122
234,Paul,Hernandez,756-858-6875,paulhernandez@gmail.com,288
235,Ryan,Rivera,261-426-5926,ryanrivera@gmail.com,111
236,Kevin,Cooper,828-297-8064,kevincooper@gmail.com,246
237,Timothy,Cruz,751-830-2670,timothycruz@gmail.com,495
238,Donald,Thomas,872-266-7644,donaldthomas@gmail.com,289
239,Matthew,Turner,809-614-4133,matthewturner@gmail.com,77
240,Stephanie,Cook,756-721-4085,stephaniecook@gmail.com,375
241,Dorothy,Harris,853-864-8405,dorothyharris@gmail.com,355
242,Anthony,Wright,437-484-7694,anthonywright@gmail.com,496
243,Betty,Campbell,524-448-3782,bettycampbell@gmail.com,211
244,Benjamin,Morales,758-639-8959,benjaminmorales@gmail.com,69
245,Sandra,Smith,682-844-4764,sandrasmith@gmail.com,141
246,Matthew,Foster,558-782-8235,matthewfoster@gmail.com,268
247,Debra,Baker,240-493-5013,debrabaker@gmail.com,487
248,Barbara,Hall,722-805-0763,barbarahall@gmail.com,57
249,Daniel,Mendoza,370-885-7341,danielmendoza@gmail.com,136
250,Reveille,X,123-456-7890,reveille.bubbletea@gmail.com,376
251,Anna,Williamson,111-111-1111,annawilliamson@tamu.edu,83
252,Sarah,Muyshondt,222-222-2222,sarah.muyshondt@tamu.edu,489
253,Haajirah,Siddiqi,333-333-3333,haajirah.siddiqi@tamu.edu,94
254,Vaidehi,Singhal,444-444-4444,vaidehisinghal@tamu.edu,408
255,Jayani,Singh,555-555-5555,ja_si@tamu.edu,295
256,Claire,Wu,666-666-6666,y.clairewu@tamu.edu,271
257,Jayden,Cox,777-777-7777,jayden_cox@tamu.edu,189
